Tuoi,Thoi_gian_nghe,Nen_tang,Thoi_quen,Muc_do,Loai_nhac
24,3.0,Spotify,Nghe để học,2,Indie
27,2.5,SoundCloud,Nghe để thư giãn,1,Indie
29,1.5,Spotify,Nghe để thư giãn,2,Indie
18,1.5,SoundCloud,Nghe để học,1,Indie
20,2.0,Spotify,Nghe để thư giãn,2,Indie
22,2.5,SoundCloud,Nghe để thư giãn,1,Indie
24,3.0,Spotify,Nghe để học,2,Indie
19,1.5,SoundCloud,Nghe để thư giãn,1,Indie
21,1.0,Spotify,Nghe để học,2,Indie
25,2.0,SoundCloud,Nghe để thư giãn,1,Indie
23,2.5,Spotify,Nghe để học,2,Indie
26,1.5,SoundCloud,Nghe để thư giãn,1,Indie
28,2.0,Spotify,Nghe để thư giãn,2,Indie
19,2.0,SoundCloud,Nghe để học,1,Indie
21,1.5,Spotify,Nghe để thư giãn,2,Indie
23,3.0,SoundCloud,Nghe để thư giãn,1,Indie
25,2.5,Spotify,Nghe để học,2,Indie
20,1.0,SoundCloud,Nghe để thư giãn,1,Indie
22,2.0,Spotify,Nghe để học,2,Indie
26,1.5,SoundCloud,Nghe để thư giãn,1,Indie
24,3.5,Spotify,Nghe để học,2,Indie
27,2.0,SoundCloud,Nghe để thư giãn,1,Indie
29,1.0,Spotify,Nghe để thư giãn,2,Indie
25,1.0,YouTube,Nghe để tập thể dục,3,Rock
28,2.0,Spotify,Nghe để tập thể dục,3,Rock
30,1.5,Apple Music,Nghe để nhảy,3,Rock
35,3.0,YouTube,Nghe để tập thể dục,3,Rock
40,1.0,Spotify,Nghe để tập thể dục,3,Rock
26,2.5,Apple Music,Nghe để nhảy,3,Rock
32,1.5,YouTube,Nghe để tập thể dục,3,Rock
38,2.0,Spotify,Nghe để tập thể dục,3,Rock
42,1.5,Apple Music,Nghe để nhảy,3,Rock
45,1.0,YouTube,Nghe để tập thể dục,3,Rock
26,1.5,YouTube,Nghe để tập thể dục,3,Rock
29,2.5,Spotify,Nghe để tập thể dục,3,Rock
31,1.0,Apple Music,Nghe để nhảy,3,Rock
36,3.5,YouTube,Nghe để tập thể dục,3,Rock
41,1.5,Spotify,Nghe để tập thể dục,3,Rock
27,2.0,Apple Music,Nghe để nhảy,3,Rock
33,1.0,YouTube,Nghe để tập thể dục,3,Rock
39,2.5,Spotify,Nghe để tập thể dục,3,Rock
43,2.0,Apple Music,Nghe để nhảy,3,Rock
44,1.5,YouTube,Nghe để tập thể dục,3,Rock
25,1.5,YouTube,Nghe để tập thể dục,3,Rock
28,1.0,Spotify,Nghe để tập thể dục,3,Rock
30,2.0,Apple Music,Nghe để nhảy,3,Rock
35,2.5,YouTube,Nghe để tập thể dục,3,Rock
40,1.5,Spotify,Nghe để tập thể dục,3,Rock
26,3.0,Apple Music,Nghe để nhảy,3,Rock
32,1.0,YouTube,Nghe để tập thể dục,3,Rock
38,2.5,Spotify,Nghe để tập thể dục,3,Rock
42,2.0,Apple Music,Nghe để nhảy,3,Rock
45,1.5,YouTube,Nghe để tập thể dục,3,Rock
26,2.0,YouTube,Nghe để tập thể dục,3,Rock
29,1.5,Spotify,Nghe để tập thể dục,3,Rock
31,1.5,Apple Music,Nghe để nhảy,3,Rock
36,3.0,YouTube,Nghe để tập thể dục,3,Rock
41,1.0,Spotify,Nghe để tập thể dục,3,Rock
27,2.5,Apple Music,Nghe để nhảy,3,Rock
33,1.5,YouTube,Nghe để tập thể dục,3,Rock
39,2.0,Spotify,Nghe để tập thể dục,3,Rock
43,1.5,Apple Music,Nghe để nhảy,3,Rock
44,1.0,YouTube,Nghe để tập thể dục,3,Rock
15,1.5,SoundCloud,Nghe để nhảy,3,Rap
18,2.0,Spotify,Nghe để thư giãn,2,Rap
20,3.0,SoundCloud,Nghe để nhảy,3,Rap
22,1.0,Spotify,Nghe để nhảy,3,Rap
25,2.5,Apple Music,Nghe để thư giãn,2,Rap
16,1.5,SoundCloud,Nghe để nhảy,3,Rap
19,2.0,Spotify,Nghe để nhảy,3,Rap
21,3.5,SoundCloud,Nghe để thư giãn,2,Rap
24,1.0,Spotify,Nghe để nhảy,3,Rap
28,2.0,Apple Music,Nghe để thư giãn,2,Rap
16,2.0,SoundCloud,Nghe để nhảy,3,Rap
19,1.5,Spotify,Nghe để thư giãn,2,Rap
21,2.5,SoundCloud,Nghe để nhảy,3,Rap
23,1.5,Spotify,Nghe để nhảy,3,Rap
26,3.0,Apple Music,Nghe để thư giãn,2,Rap
17,1.0,SoundCloud,Nghe để nhảy,3,Rap
20,2.5,Spotify,Nghe để nhảy,3,Rap
22,3.0,SoundCloud,Nghe để thư giãn,2,Rap
25,1.5,Spotify,Nghe để nhảy,3,Rap
27,2.5,Apple Music,Nghe để thư giãn,2,Rap
15,2.0,SoundCloud,Nghe để nhảy,3,Rap
18,1.5,Spotify,Nghe để thư giãn,2,Rap
20,2.5,SoundCloud,Nghe để nhảy,3,Rap
22,1.5,Spotify,Nghe để nhảy,3,Rap
25,3.0,Apple Music,Nghe để thư giãn,2,Rap
16,1.0,SoundCloud,Nghe để nhảy,3,Rap
19,2.5,Spotify,Nghe để nhảy,3,Rap
21,3.0,SoundCloud,Nghe để thư giãn,2,Rap
24,1.5,Spotify,Nghe để nhảy,3,Rap
28,2.5,Apple Music,Nghe để thư giãn,2,Rap
16,1.5,SoundCloud,Nghe để nhảy,3,Rap
19,2.0,Spotify,Nghe để thư giãn,2,Rap
21,3.5,SoundCloud,Nghe để nhảy,3,Rap
23,1.0,Spotify,Nghe để nhảy,3,Rap
26,2.5,Apple Music,Nghe để thư giãn,2,Rap
17,1.5,SoundCloud,Nghe để nhảy,3,Rap
20,3.0,Spotify,Nghe để nhảy,3,Rap
22,2.5,SoundCloud,Nghe để thư giãn,2,Rap
25,1.0,Spotify,Nghe để nhảy,3,Rap
27,2.0,Apple Music,Nghe để thư giãn,2,Rap
